Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
1994,17272.7,12703.7,295.0,2359.1,0.31029411764705883,696.6582999999999,19.327320000000004,33.61176,1338.1111,1285.5351,35.116800000000005,4923.541133333333,3529.345,477.4317,0.0,11.834866666666665,,,51.308400000000006,58.752383333333334,527.9158199999999,-169.917,481.28426,100.55297142857144,51.81682000000001,997.7553599999999,51287.1809,0.11928333333333334,400.5376333333333,0.25456666666666666,15.137300000000002,888.8478600000001,41.51675,1045.55436
1995,16480.4,11866.7,320.4,2561.5,0.3668235294117647,705.5450800000001,17.250239999999998,37.72944,1341.6951,1288.9866,35.2053,5245.917466666667,3508.1409999999996,477.4317,0.0,11.83105,,,56.65304285714285,65.03298333333333,527.9158199999999,-169.917,508.08582000000007,100.41097142857143,52.01896000000001,993.68024,51287.1809,0.12633333333333333,401.93879999999996,0.8802666666666669,14.8941,888.8478600000001,41.51675,1081.1136
1996,15808.9,11550.0,385.6,2368.4,0.3711470588235294,711.8734000000001,17.14692,38.718959999999996,1341.6951,1288.9866,35.2053,5778.95905,3498.3161,576.62052,0.0,12.46745,,,63.44577142857143,68.94758333333333,755.15922,-169.917,495.21554,100.8968,52.455200000000005,995.25496,51287.1809,0.13068333333333335,495.6515666666666,0.14073333333333335,15.295,1073.72694,49.825425,1119.74604
1997,15384.6,10655.6,212.0,2771.2,0.4992941176470588,720.9868,16.103820000000002,37.516639999999995,1341.6951,1288.9866,35.2053,5352.412066666667,3576.4402999999998,546.22788,0.0,15.7144,0.0679,0.05401666666666668,70.76447142857144,68.25253333333333,732.30882,-169.917,617.9042,102.74570000000001,53.295759999999994,1020.5036800000001,51287.1809,0.14326666666666668,342.8781333333333,1.8333333333333333,14.63,1154.196,52.311375,1159.9751
1998,13971.1,9004.1,276.8,2608.5,0.7753529411764707,729.29802,17.812440000000002,41.34704,1358.3852,1305.0142,35.6478,5379.968216666667,3655.1858000000007,1428.89538,0.0,13.3347,0.25706666666666667,0.1545,30.298885714285714,70.64094999999999,1729.57932,-169.917,568.7224,112.82528571428573,60.83951999999999,1044.67776,51287.1809,0.21696666666666667,440.29940000000005,0.6795333333333332,19.95,1491.0393,45.7442,1200.6969800000002
1999,9391.1,13659.4,288.1,2971.6,0.4713823529411765,738.54518,13.425419999999999,33.28192,1376.1625,1322.076,36.1257,5314.268416666667,4051.598,891.4560000000001,0.0,11.298749999999998,0.34928333333333333,0.1777333333333333,41.70297142857142,61.99896666666666,1263.32994,-169.917,617.2456,110.61772857142857,55.030060000000006,1149.96056,51287.1809,0.17594999999999997,331.39956666666666,1.13175,27.114899999999995,1236.66024,71.919825,1242.82668
2000,7257.3,13299.2,293.0,2589.9,0.3618235294117647,745.8747999999999,13.30614,36.878240000000005,1421.9252,1366.0367,37.329299999999996,5481.719700000001,4352.5199999999995,731.8172999999999,0.0,20.240783333333336,0.4557833333333334,0.21236666666666668,78.83218571428571,70.80709999999999,987.4393200000001,-169.917,638.24916,127.92952857142858,66.43614,1224.11072,51287.1809,0.16636666666666666,325.4954666666667,,27.071199999999994,1568.2716599999999,60.5004,1283.2849
2001,9522.1,8191.8,300.0,2709.7,0.3166764705882353,754.9075999999999,13.31298,39.6872,1429.4208,1373.2408,37.524,5461.160383333333,4317.117300000001,337.24878,0.0,18.4883,0.7697833333333333,0.41225,109.69027142857144,72.50715000000001,346.33584,-1132.78,625.6804599999999,131.21145714285714,69.91543999999999,1225.32366,40610.7294,0.2728833333333333,414.1356333333333,,27.2707,1112.70666,70.78985,1326.3569
2002,8952.1,7662.6,292.9,2500.0,0.5136470588235293,762.6117,18.07302,43.50696000000001,1432.0666,1375.7806,37.5948,5173.702733333333,4191.164400000001,327.86976,0.0,23.44668333333333,1.3252833333333334,0.8042000000000001,94.76974285714287,78.76975,330.3828,-1132.78,666.9132400000001,132.24295714285714,71.6072,1192.4141599999998,40610.7294,0.46679999999999994,238.17459999999997,0.2553666666666667,53.20000000000001,1198.14258,57.549150000000004,1371.3479599999998
2003,9325.8,7119.3,300.0,2194.2,0.6275882352941177,772.62674,19.61184,46.56064,1431.7384,1375.4524,37.5948,5295.040300000001,4312.0006,983.3336400000001,0.0,26.896,1.7314666666666667,1.0774833333333333,109.0928,80.35556666666666,993.99102,-1132.78,695.2622799999999,137.61682857142858,74.8311,1223.8234400000001,40610.7294,0.5617833333333333,339.9474666666667,0.4996333333333333,52.858000000000004,1647.0022199999999,53.614175,1418.86836
